Layer,Name,GEOID,INC_2020-2024,INC_2020-2024_moe
Census tract,Tract 101,17031010100,"$74,145","$3,495"
Census tract,Tract 102.01,17031010201,"$63,056","$21,160"
Census tract,Tract 102.02,17031010202,"$53,220","$14,868"
Census tract,Tract 103,17031010300,"$73,105","$16,064"
Census tract,Tract 104,17031010400,"$54,083","$9,232"
Census tract,Tract 105.01,17031010501,"$48,833","$11,527"
Census tract,Tract 105.02,17031010502,"$63,125","$11,481"
Census tract,Tract 105.03,17031010503,"$32,443","$17,027"
Census tract,Tract 106,17031010600,"$72,500","$19,955"
Census tract,Tract 107.01,17031010701,"$74,813","$18,284"
Census tract,Tract 107.02,17031010702,"$61,724","$7,345"
Census tract,Tract 201,17031020100,"$64,904","$20,863"
Census tract,Tract 202,17031020200,"$120,625","$14,804"
Census tract,Tract 203.01,17031020301,"$78,385","$20,539"
Census tract,Tract 203.02,17031020302,"$71,250","$12,211"
Census tract,Tract 204,17031020400,"$73,790","$26,057"
Census tract,Tract 205,17031020500,"$37,819","$30,497"
Census tract,Tract 206.01,17031020601,"$64,127","$9,285"
Census tract,Tract 206.02,17031020602,"$89,663","$37,315"
Census tract,Tract 207.01,17031020701,"$108,568","$17,248"
Census tract,Tract 207.02,17031020702,"$63,906","$17,677"
Census tract,Tract 208.01,17031020801,"$74,931","$25,933"
Census tract,Tract 208.02,17031020802,"$68,725","$12,683"
Census tract,Tract 209.01,17031020901,"$56,291","$8,621"
Census tract,Tract 209.02,17031020902,"$45,547","$14,825"
Census tract,Tract 301.01,17031030101,"$48,929","$18,460"
Census tract,Tract 301.02,17031030102,"$59,826","$7,751"
Census tract,Tract 301.03,17031030103,"$49,545","$16,861"
Census tract,Tract 301.04,17031030104,"$41,823","$10,636"
Census tract,Tract 302,17031030200,"$108,466","$18,807"
Census tract,Tract 303,17031030300,"$68,933","$20,922"
Census tract,Tract 304,17031030400,"$98,909","$16,107"
Census tract,Tract 305,17031030500,"$127,055","$11,147"
Census tract,Tract 306.01,17031030601,"$52,917","$13,298"
Census tract,Tract 306.03,17031030603,"$49,674","$14,186"
Census tract,Tract 306.04,17031030604,"$51,688","$13,629"
Census tract,Tract 307.01,17031030701,"$44,948","$13,984"
Census tract,Tract 307.02,17031030702,"$60,603","$14,553"
Census tract,Tract 307.03,17031030703,"$74,702","$10,599"
Census tract,Tract 307.06,17031030706,"$52,167","$9,687"
Census tract,Tract 308,17031030800,"$105,585","$15,118"
Census tract,Tract 309,17031030900,"$87,485","$21,521"
Census tract,Tract 310,17031031000,"$132,147","$30,871"
Census tract,Tract 311,17031031100,"$92,717","$14,407"
Census tract,Tract 312,17031031200,"$25,713","$10,158"
Census tract,Tract 313,17031031300,"$68,942","$13,509"
Census tract,Tract 314,17031031400,"$93,026","$12,239"
Census tract,Tract 315.01,17031031501,"$52,250","$14,763"
Census tract,Tract 315.02,17031031502,"$49,684","$3,308"
Census tract,Tract 317,17031031700,"$79,867","$11,481"
Census tract,Tract 318,17031031800,"$82,313","$14,425"
Census tract,Tract 319,17031031900,"$94,107","$18,582"
Census tract,Tract 321,17031032100,"$72,515","$20,598"
Census tract,Tract 401,17031040100,"$90,952","$26,166"
Census tract,Tract 402.01,17031040201,"$104,484","$22,404"
Census tract,Tract 402.02,17031040202,"$67,832","$13,521"
Census tract,Tract 403,17031040300,"$78,879","$31,593"
Census tract,Tract 404.01,17031040401,"$108,899","$25,410"
Census tract,Tract 404.02,17031040402,"$99,201","$14,332"
Census tract,Tract 406,17031040600,"$89,091","$11,944"
Census tract,Tract 407,17031040700,"$105,365","$7,896"
Census tract,Tract 408,17031040800,"$114,397","$36,978"
Census tract,Tract 409,17031040900,"$86,359","$25,319"
Census tract,Tract 501,17031050100,"$116,438","$38,214"
Census tract,Tract 502,17031050200,"$133,708","$10,395"
Census tract,Tract 503,17031050300,"$151,630","$31,876"
Census tract,Tract 505,17031050500,"$141,563","$19,907"
Census tract,Tract 506,17031050600,"$137,083","$57,214"
Census tract,Tract 507,17031050700,"$135,653","$19,820"
Census tract,Tract 508,17031050800,"$190,469","$57,169"
Census tract,Tract 509,17031050900,"$132,258","$18,210"
Census tract,Tract 510,17031051000,"$186,458","$19,952"
Census tract,Tract 511,17031051100,"$161,900","$87,923"
Census tract,Tract 512,17031051200,"$176,571","$12,051"
Census tract,Tract 513,17031051300,"$147,386","$76,374"
Census tract,Tract 514,17031051400,"$167,194","$20,879"
Census tract,Tract 601,17031060100,"$157,917","$41,617"
Census tract,Tract 602,17031060200,"$85,417","$30,361"
Census tract,Tract 603,17031060300,"$173,125","$33,305"
Census tract,Tract 604,17031060400,"$153,625","$5,925"
Census tract,Tract 605,17031060500,"$52,143","$40,197"
Census tract,Tract 608,17031060800,"$90,174","$12,341"
Census tract,Tract 609,17031060900,"$79,016","$8,512"
Census tract,Tract 610,17031061000,"$121,332","$15,749"
Census tract,Tract 611,17031061100,"$117,330","$50,774"
Census tract,Tract 612,17031061200,"$122,857","$10,641"
Census tract,Tract 615,17031061500,"$128,958","$12,630"
Census tract,Tract 618,17031061800,"$85,139","$16,151"
Census tract,Tract 619.01,17031061901,"$73,769","$14,115"
Census tract,Tract 619.02,17031061902,"$95,705","$18,011"
Census tract,Tract 620,17031062000,"$121,375","$37,230"
Census tract,Tract 621,17031062100,"$103,462","$50,662"
Census tract,Tract 622,17031062200,"$197,159","$42,662"
Census tract,Tract 623,17031062300,"$250,001",
Census tract,Tract 624,17031062400,"$152,361","$48,272"
Census tract,Tract 625,17031062500,"$203,333","$60,663"
Census tract,Tract 626,17031062600,"$210,536","$57,117"
Census tract,Tract 627,17031062700,"$146,979","$36,382"
Census tract,Tract 628,17031062800,"$190,139","$31,539"
Census tract,Tract 629,17031062900,"$169,906","$27,185"
Census tract,Tract 630,17031063000,"$102,040","$24,113"
Census tract,Tract 631,17031063100,"$94,948","$10,317"
Census tract,Tract 632,17031063200,"$79,782","$13,135"
Census tract,Tract 633.01,17031063301,"$66,901","$13,158"
Census tract,Tract 633.02,17031063302,"$98,219","$15,924"
Census tract,Tract 633.03,17031063303,"$107,639","$9,377"
Census tract,Tract 634,17031063400,"$86,979","$32,663"
Census tract,Tract 701.01,17031070101,"$83,614","$24,458"
Census tract,Tract 701.02,17031070102,"$110,577","$32,736"
Census tract,Tract 701.03,17031070103,"$73,581","$13,640"
Census tract,Tract 702,17031070200,"$109,000","$28,125"
Census tract,Tract 703,17031070300,"$156,898","$67,260"
Census tract,Tract 704,17031070400,"$192,955","$80,243"
Census tract,Tract 705,17031070500,"$207,076","$31,204"
Census tract,Tract 706,17031070600,"$249,531","$96,788"
Census tract,Tract 707,17031070700,"$143,955","$50,151"
Census tract,Tract 710,17031071000,"$179,438","$42,924"
Census tract,Tract 711,17031071100,"$204,609","$35,748"
Census tract,Tract 712,17031071200,"$131,383","$21,522"
Census tract,Tract 713,17031071300,"$129,486","$30,930"
Census tract,Tract 714,17031071400,"$113,581","$30,976"
Census tract,Tract 715,17031071500,"$119,024","$15,170"
Census tract,Tract 716,17031071600,"$204,375","$71,736"
Census tract,Tract 717,17031071700,"$202,500","$85,311"
Census tract,Tract 718,17031071800,"$241,228","$36,898"
Census tract,Tract 801,17031080100,"$105,000","$24,417"
Census tract,Tract 802.01,17031080201,"$120,409","$26,560"
Census tract,Tract 802.02,17031080202,"$106,071","$14,241"
Census tract,Tract 803,17031080300,"$151,830","$20,344"
Census tract,Tract 804,17031080400,"$68,270","$51,179"
Census tract,Tract 810,17031081000,"$79,465","$12,761"
Census tract,Tract 811,17031081100,"$79,561","$9,747"
Census tract,Tract 812.01,17031081201,"$122,659","$21,769"
Census tract,Tract 812.02,17031081202,"$154,569","$69,448"
Census tract,Tract 813,17031081300,"$108,625","$28,286"
Census tract,Tract 814.01,17031081401,"$83,292","$15,854"
Census tract,Tract 814.02,17031081402,"$170,333","$47,591"
Census tract,Tract 814.03,17031081403,"$110,327","$17,754"
