,﻿Layer,Name,GEOID,INC_2020-2024,INC_2020-2024_moe,properties.area_id,properties.city,properties.state,properties.city_survey,properties.cat,properties.grade,properties.label,properties.res,properties.com,properties.ind,properties.fill,properties.GISJOIN,properties.calc_area,properties.pct_tract
0,Census tract,Tract 101,17031010100,"$74,145","$3,495",1171,Chicago,IL,True,Still Desirable,B,B71,True,False,False,#7cb5bd,G1700310010100,37552.88911,0.09895
1,Census tract,Tract 101,17031010100,"$74,145","$3,495",1170,Chicago,IL,True,Definitely Declining,C,C64,True,False,False,#ffff00,G1700310010100,209064.67634,0.55088
2,Census tract,Tract 101,17031010100,"$74,145","$3,495",1166,Chicago,IL,True,Definitely Declining,C,C65,True,False,False,#ffff00,G1700310010100,1726.09768,0.00455
3,Census tract,Tract 101,17031010100,"$74,145","$3,495",1172,Chicago,IL,True,Definitely Declining,C,C69,True,False,False,#ffff00,G1700310010100,26852.27807,0.07076
4,Census tract,Tract 102.01,17031010201,"$63,056","$21,160",1148,Chicago,IL,True,Still Desirable,B,B44,True,False,False,#7cb5bd,G1700310010201,7466.30282,0.0148
5,Census tract,Tract 102.01,17031010201,"$63,056","$21,160",1149,Chicago,IL,True,Still Desirable,B,B70,True,False,False,#7cb5bd,G1700310010201,171374.83734,0.33972
6,Census tract,Tract 102.01,17031010201,"$63,056","$21,160",1152,Chicago,IL,True,Definitely Declining,C,C67,True,False,False,#ffff00,G1700310010201,322531.97557,0.63936
7,Census tract,Tract 102.02,17031010202,"$53,220","$14,868",1148,Chicago,IL,True,Still Desirable,B,B44,True,False,False,#7cb5bd,G1700310010202,1.91964,1e-05
8,Census tract,Tract 102.02,17031010202,"$53,220","$14,868",1170,Chicago,IL,True,Definitely Declining,C,C64,True,False,False,#ffff00,G1700310010202,2381.89385,0.00678
9,Census tract,Tract 102.02,17031010202,"$53,220","$14,868",1166,Chicago,IL,True,Definitely Declining,C,C65,True,False,False,#ffff00,G1700310010202,145814.99866,0.41513
10,Census tract,Tract 102.02,17031010202,"$53,220","$14,868",1167,Chicago,IL,True,Definitely Declining,C,C66,True,False,False,#ffff00,G1700310010202,129547.25288,0.36881
11,Census tract,Tract 102.02,17031010202,"$53,220","$14,868",1152,Chicago,IL,True,Definitely Declining,C,C67,True,False,False,#ffff00,G1700310010202,68538.00549,0.19512
12,Census tract,Tract 103,17031010300,"$73,105","$16,064",1171,Chicago,IL,True,Still Desirable,B,B71,True,False,False,#7cb5bd,G1700310010300,60182.70446,0.12736
13,Census tract,Tract 103,17031010300,"$73,105","$16,064",1170,Chicago,IL,True,Definitely Declining,C,C64,True,False,False,#ffff00,G1700310010300,6242.88135,0.01321
14,Census tract,Tract 103,17031010300,"$73,105","$16,064",1166,Chicago,IL,True,Definitely Declining,C,C65,True,False,False,#ffff00,G1700310010300,125097.39484,0.26474
15,Census tract,Tract 103,17031010300,"$73,105","$16,064",1167,Chicago,IL,True,Definitely Declining,C,C66,True,False,False,#ffff00,G1700310010300,136683.11115,0.28926
16,Census tract,Tract 103,17031010300,"$73,105","$16,064",1172,Chicago,IL,True,Definitely Declining,C,C69,True,False,False,#ffff00,G1700310010300,137479.182,0.29095
17,Census tract,Tract 104,17031010400,"$54,083","$9,232",1169,Chicago,IL,True,Still Desirable,B,B75,True,False,False,#7cb5bd,G1700310010400,19772.42607,0.03603
18,Census tract,Tract 104,17031010400,"$54,083","$9,232",1173,Chicago,IL,True,Still Desirable,B,B76,True,False,False,#7cb5bd,G1700310010400,124488.26806,0.22685
19,Census tract,Tract 104,17031010400,"$54,083","$9,232",1172,Chicago,IL,True,Definitely Declining,C,C69,True,False,False,#ffff00,G1700310010400,157234.34102,0.28653
20,Census tract,Tract 105.01,17031010501,"$48,833","$11,527",1167,Chicago,IL,True,Definitely Declining,C,C66,True,False,False,#ffff00,G1700310010501,12269.44105,0.0607
21,Census tract,Tract 105.01,17031010501,"$48,833","$11,527",1168,Chicago,IL,True,Definitely Declining,C,C68,True,False,False,#ffff00,G1700310010501,131102.66529,0.64859
22,Census tract,Tract 105.01,17031010501,"$48,833","$11,527",1172,Chicago,IL,True,Definitely Declining,C,C69,True,False,False,#ffff00,G1700310010501,58762.68937,0.29071
23,Census tract,Tract 105.02,17031010502,"$63,125","$11,481",1169,Chicago,IL,True,Still Desirable,B,B75,True,False,False,#7cb5bd,G1700310010502,58883.982,0.32643
24,Census tract,Tract 105.02,17031010502,"$63,125","$11,481",1168,Chicago,IL,True,Definitely Declining,C,C68,True,False,False,#ffff00,G1700310010502,84994.02069,0.47118
25,Census tract,Tract 105.02,17031010502,"$63,125","$11,481",1172,Chicago,IL,True,Definitely Declining,C,C69,True,False,False,#ffff00,G1700310010502,36508.37169,0.20239
26,Census tract,Tract 105.03,17031010503,"$32,443","$17,027",1169,Chicago,IL,True,Still Desirable,B,B75,True,False,False,#7cb5bd,G1700310010503,185337.18308,0.9543
27,Census tract,Tract 105.03,17031010503,"$32,443","$17,027",1172,Chicago,IL,True,Definitely Declining,C,C69,True,False,False,#ffff00,G1700310010503,8876.26757,0.0457
28,Census tract,Tract 106,17031010600,"$72,500","$19,955",1169,Chicago,IL,True,Still Desirable,B,B75,True,False,False,#7cb5bd,G1700310010600,26015.00962,0.05255
29,Census tract,Tract 106,17031010600,"$72,500","$19,955",1167,Chicago,IL,True,Definitely Declining,C,C66,True,False,False,#ffff00,G1700310010600,36900.90148,0.07454
30,Census tract,Tract 106,17031010600,"$72,500","$19,955",1168,Chicago,IL,True,Definitely Declining,C,C68,True,False,False,#ffff00,G1700310010600,432099.68895,0.8729
31,Census tract,Tract 107.01,17031010701,"$74,813","$18,284",1149,Chicago,IL,True,Still Desirable,B,B70,True,False,False,#7cb5bd,G1700310010701,1178.12174,0.00274
32,Census tract,Tract 107.01,17031010701,"$74,813","$18,284",1152,Chicago,IL,True,Definitely Declining,C,C67,True,False,False,#ffff00,G1700310010701,428513.42401,0.99726
