ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
9052c,Annazette R. Collins,Annazette Collins,House,93,146,27,119,16,0,16,5,1,4,32,3,29
194309k,Barbara Flynn Currie,Barbara Flynn Currie,House,93,588,59,529,40,0,40,74,1,73,57,7,50
11216c,Careen M. Gordon,Careen Gordon,House,93,108,12,96,11,0,11,10,1,9,10,2,8
2710c,Carole Pankau,Carole Pankau,House,93,53,17,36,8,0,8,1,1,0,4,0,4
2714c,Carolyn H. Krause,Carolyn H. Krause,House,93,128,35,93,21,5,16,7,2,5,21,5,16
3962c,Constance A. Howard,Constance A. Howard,House,93,190,52,138,30,8,22,11,5,6,32,5,27
208356k,Cynthia Soto,Cynthia Soto,House,93,217,35,182,35,7,28,11,2,9,35,9,26
10713c,Deborah L. Graham,Deborah L. Graham,House,93,220,23,197,30,2,28,10,0,10,44,3,41
3966c,Eileen Lyons,Eileen Lyons,House,93,191,39,152,31,1,30,3,0,3,37,11,26
212690k,Elaine Nekritz,Elaine Nekritz,House,93,195,44,151,28,3,25,9,0,9,36,5,31
5297c,Elizabeth Coulson,Elizabeth Coulson,House,93,341,70,271,106,30,76,13,1,12,54,11,43
11139c,JoAnn D. Osmond,JoAnn D. Osmond,House,93,128,22,106,13,2,11,2,0,2,17,4,13
6457c,Julie Hamos,Julie Hamos,House,93,214,57,157,30,5,25,7,2,5,25,6,19
9051c,Karen A. Yarbrough,Karen A. Yarbrough,House,93,276,24,252,36,3,33,12,1,11,46,0,46
10129c,Kathleen A. Ryg,Kathleen A. Ryg,House,93,247,42,205,46,10,36,5,0,5,31,0,31
271c,Kathleen L. Wojcik,Kathleen L. Wojcik,House,93,2,2,0,0,0,0,0,0,0,0,0,0
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,93,401,32,369,47,2,45,23,1,22,67,7,60
11217c,Lisa M. Dugan,Lisa M. Dugan,House,93,116,8,108,17,1,16,8,1,7,13,1,12
265c,Lovana S. Jones,Lovana Jones,House,93,195,47,148,20,6,14,4,0,4,29,6,23
10125c,Maria Antonia Berrios,Maria Antonia Berrios,House,93,227,22,205,24,2,22,42,2,40,40,2,38
386896k,Mary E. Flowers,Mary E. Flowers,House,93,293,90,203,72,26,46,17,1,16,61,32,29
5301c,Mary K. O'Brien,Mary K. O'Brien,House,93,167,69,98,8,0,8,7,4,3,19,4,15
194311k,Monique D. Davis,Monique D. Davis,House,93,465,59,406,42,3,39,17,1,16,78,21,57
10137c,Naomi D. Jakobsson,Naomi D. Jakobsson,House,93,242,23,219,24,0,24,12,2,10,46,6,40
10122c,Patricia Bailey,Patricia Bailey,House,93,268,29,239,33,0,33,10,1,9,46,2,44
194331k,Patricia R. Bellock,Patricia R. Bellock,House,93,334,54,280,84,12,72,7,0,7,55,9,46
2720c,Patricia Reid Lindner,Patricia Reid Lindner,House,93,179,42,137,27,2,25,6,2,4,32,11,21
6250c,Renee Kosel,Renee Kosel,House,93,128,25,103,19,6,13,2,1,1,38,9,29
5361c,Ricca C. Slone,Ricca Slone,House,93,198,41,157,18,1,17,7,3,4,20,2,18
212680k,Robin L. Kelly,Robin Kelly,House,93,257,32,225,32,2,30,13,1,12,56,7,49
9063c,Rosemary Kurtz,Rosemary Kurtz,House,93,150,27,123,25,0,25,8,1,7,28,4,24
2713c,Rosemary Mulligan,Rosemary Mulligan,House,93,219,46,173,50,9,41,9,1,8,60,14,46
11138c,Ruth Munson,Ruth Munson,House,93,103,18,85,11,0,11,4,0,4,13,5,8
10126c,Sandra M. Pihos,Sandra M. Pihos,House,93,266,25,241,41,3,38,6,1,5,49,8,41
194298k,Sara Feigenholtz,Sara Feigenholtz,House,93,318,76,242,74,29,45,10,2,8,35,5,30
6460c,Suzanne Bassi,Suzanne Bassi,House,93,136,25,111,26,9,17,4,0,4,16,2,14
272c,Wyvetter H. Younge,Wyvetter H. Younge,House,93,207,109,98,20,5,15,3,1,2,20,5,15
245c,Adeline Jay Geo-Karis,Adeline Jay Geo-Karis,Senate,93,57,10,47,6,0,6,6,1,5,6,2,4
6456c,Carol Ronen,Carol Ronen,Senate,93,181,123,58,35,28,7,66,61,5,18,12,6
194248k,Christine Radogno,Christine Radogno,Senate,93,185,83,102,23,6,17,7,2,5,23,13,10
11852c,Deanna Demuzio,Deanna Demuzio,Senate,93,12,3,9,1,1,0,2,0,2,3,2,1
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,93,311,51,260,48,5,43,12,2,10,49,5,44
271c,Kathleen L. Wojcik,Kathleen L. Wojcik,Senate,93,76,18,58,24,3,21,1,0,1,9,2,7
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,93,245,110,135,28,9,19,15,6,9,71,32,39
5360c,M. Maggie Crotty,M. Maggie Crotty,Senate,93,218,74,144,46,16,30,7,2,5,45,19,26
214463k,Mattie Hunter,Mattie Hunter,Senate,93,429,82,347,68,29,39,16,1,15,66,15,51
214519k,Pamela J. Althoff,Pamela J. Althoff,Senate,93,107,23,84,12,2,10,2,0,2,14,4,10
6461c,Susan Garrett,Susan Garrett,Senate,93,229,81,148,37,10,27,6,2,4,35,10,25
9052c,Annazette R. Collins,Annazette Collins,House,94,200,26,174,19,0,19,6,0,6,30,5,25
194309k,Barbara Flynn Currie,Barbara Flynn Currie,House,94,912,36,876,44,4,40,72,1,71,64,6,58
2714c,Carolyn H. Krause,Carolyn H. Krause,House,94,119,27,92,27,5,22,3,1,2,10,0,10
3962c,Constance A. Howard,Constance A. Howard,House,94,161,35,126,25,6,19,6,2,4,22,1,21
208356k,Cynthia Soto,Cynthia Soto,House,94,233,22,211,29,2,27,12,3,9,45,9,36
10713c,Deborah L. Graham,Deborah L. Graham,House,94,212,20,192,19,1,18,6,0,6,27,1,26
3966c,Eileen Lyons,Eileen Lyons,House,94,93,13,80,17,0,17,3,1,2,10,2,8
212690k,Elaine Nekritz,Elaine Nekritz,House,94,185,39,146,24,0,24,3,0,3,23,2,21
5297c,Elizabeth Coulson,Elizabeth Coulson,House,94,337,89,248,60,16,44,5,1,4,52,8,44
12454c,Esther Golar,Esther Golar,House,94,61,5,56,4,0,4,2,0,2,12,2,10
247264k,Jil W. Tracy,Jil Tracy,House,94,6,2,4,0,0,0,0,0,0,0,0,0
11139c,JoAnn D. Osmond,JoAnn D. Osmond,House,94,106,26,80,14,3,11,3,0,3,12,6,6
6457c,Julie Hamos,Julie Hamos,House,94,156,42,114,29,13,16,8,2,6,19,2,17
9051c,Karen A. Yarbrough,Karen A. Yarbrough,House,94,340,31,309,36,3,33,12,0,12,45,6,39
10129c,Kathleen A. Ryg,Kathleen A. Ryg,House,94,271,52,219,46,10,36,8,1,7,29,3,26
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,94,488,47,441,52,2,50,21,1,20,70,11,59
11217c,Lisa M. Dugan,Lisa M. Dugan,House,94,323,21,302,33,4,29,17,0,17,30,2,28
265c,Lovana S. Jones,Lovana Jones,House,94,230,31,199,11,4,7,7,1,6,22,3,19
10125c,Maria Antonia Berrios,Maria Antonia Berrios,House,94,154,11,143,19,1,18,8,1,7,26,1,25
386896k,Mary E. Flowers,Mary E. Flowers,House,94,194,57,137,44,15,29,5,1,4,35,11,24
11481c,Michelle Chavez,Michelle Chavez,House,94,189,9,180,24,0,24,8,0,8,31,4,27
194311k,Monique D. Davis,Monique D. Davis,House,94,478,121,357,28,7,21,12,7,5,60,16,44
10137c,Naomi D. Jakobsson,Naomi D. Jakobsson,House,94,299,36,263,40,4,36,12,4,8,38,1,37
10122c,Patricia Bailey,Patricia Bailey,House,94,120,7,113,7,1,6,4,2,2,14,1,13
194331k,Patricia R. Bellock,Patricia R. Bellock,House,94,291,44,247,59,14,45,3,1,2,38,6,32
2720c,Patricia Reid Lindner,Patricia Reid Lindner,House,94,144,48,96,16,1,15,2,1,1,17,3,14
6250c,Renee Kosel,Renee Kosel,House,94,95,27,68,5,0,5,6,2,4,21,8,13
212680k,Robin L. Kelly,Robin Kelly,House,94,239,24,215,25,0,25,8,4,4,35,1,34
2713c,Rosemary Mulligan,Rosemary Mulligan,House,94,124,20,104,28,5,23,1,0,1,15,0,15
11138c,Ruth Munson,Ruth Munson,House,94,165,45,120,17,3,14,7,4,3,16,2,14
10126c,Sandra M. Pihos,Sandra M. Pihos,House,94,217,28,189,30,0,30,1,0,1,35,6,29
194298k,Sara Feigenholtz,Sara Feigenholtz,House,94,272,53,219,64,13,51,2,1,1,29,6,23
6460c,Suzanne Bassi,Suzanne Bassi,House,94,88,20,68,10,2,8,1,1,0,18,2,16
272c,Wyvetter H. Younge,Wyvetter H. Younge,House,94,220,63,157,18,3,15,5,0,5,25,0,25
245c,Adeline Jay Geo-Karis,Adeline Jay Geo-Karis,Senate,94,56,10,46,3,0,3,7,0,7,6,1,5
6456c,Carol Ronen,Carol Ronen,Senate,94,180,132,48,61,60,1,11,7,4,28,23,5
2710c,Carole Pankau,Carole Pankau,Senate,94,52,24,28,5,3,2,5,3,2,4,2,2
12449c,Cheryl Axley,Cheryl Axley,Senate,94,76,12,64,3,0,3,3,1,2,7,3,4
194248k,Christine Radogno,Christine Radogno,Senate,94,154,50,104,11,2,9,5,3,2,9,3,6
11852c,Deanna Demuzio,Deanna Demuzio,Senate,94,164,71,93,15,4,11,8,4,4,21,10,11
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,94,341,61,280,52,3,49,15,3,12,56,11,45
271c,Kathleen L. Wojcik,Kathleen L. Wojcik,Senate,94,28,10,18,3,2,1,0,0,0,2,1,1
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,94,169,80,89,26,11,15,11,6,5,71,45,26
5360c,M. Maggie Crotty,M. Maggie Crotty,Senate,94,243,105,138,34,12,22,7,2,5,29,11,18
214463k,Mattie Hunter,Mattie Hunter,Senate,94,366,91,275,49,10,39,18,4,14,51,19,32
214519k,Pamela J. Althoff,Pamela J. Althoff,Senate,94,314,69,245,24,4,20,17,4,13,24,4,20
6461c,Susan Garrett,Susan Garrett,Senate,94,230,144,86,26,14,12,2,1,1,27,16,11
9052c,Annazette R. Collins,Annazette Collins,House,95,141,10,131,20,0,20,6,0,6,23,4,19
194309k,Barbara Flynn Currie,Barbara Flynn Currie,House,95,875,44,831,57,4,53,69,0,69,75,9,66
2714c,Carolyn H. Krause,Carolyn H. Krause,House,95,161,22,139,27,3,24,7,0,7,30,2,28
3962c,Constance A. Howard,Constance A. Howard,House,95,209,41,168,32,4,28,7,0,7,30,1,29
208356k,Cynthia Soto,Cynthia Soto,House,95,279,29,250,47,7,40,20,5,15,57,7,50
10713c,Deborah L. Graham,Deborah L. Graham,House,95,201,23,178,24,2,22,5,0,5,44,1,43
212690k,Elaine Nekritz,Elaine Nekritz,House,95,221,59,162,26,6,20,6,1,5,31,6,25
5297c,Elizabeth Coulson,Elizabeth Coulson,House,95,508,147,361,98,26,72,10,0,10,78,19,59
250823k,Elizabeth Hernandez,Elizabeth Hernandez,House,95,348,38,310,61,15,46,10,1,9,74,9,65
12454c,Esther Golar,Esther Golar,House,95,259,31,228,36,7,29,11,1,10,68,10,58
247264k,Jil W. Tracy,Jil Tracy,House,95,170,29,141,15,1,14,10,2,8,21,2,19
11139c,JoAnn D. Osmond,JoAnn D. Osmond,House,95,195,44,151,16,0,16,8,1,7,18,5,13
6457c,Julie Hamos,Julie Hamos,House,95,175,53,122,27,9,18,7,5,2,22,4,18
9051c,Karen A. Yarbrough,Karen A. Yarbrough,House,95,432,43,389,46,9,37,15,1,14,51,3,48
10129c,Kathleen A. Ryg,Kathleen A. Ryg,House,95,261,58,203,50,9,41,8,5,3,45,3,42
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,95,543,66,477,58,5,53,11,1,10,105,14,91
11217c,Lisa M. Dugan,Lisa M. Dugan,House,95,259,38,221,36,7,29,11,2,9,43,4,39
10125c,Maria Antonia Berrios,Maria Antonia Berrios,House,95,193,16,177,35,0,35,8,1,7,42,4,38
386896k,Mary E. Flowers,Mary E. Flowers,House,95,241,80,161,53,16,37,11,1,10,47,25,22
194311k,Monique D. Davis,Monique D. Davis,House,95,561,41,520,26,0,26,19,4,15,72,16,56
10137c,Naomi D. Jakobsson,Naomi D. Jakobsson,House,95,365,50,315,69,3,66,11,2,9,63,14,49
194331k,Patricia R. Bellock,Patricia R. Bellock,House,95,394,51,343,81,19,62,8,0,8,72,6,66
2720c,Patricia Reid Lindner,Patricia Reid Lindner,House,95,174,55,119,31,14,17,5,2,3,30,8,22
212680k,Robin L. Kelly,Robin Kelly,House,95,1,1,0,0,0,0,0,0,0,0,0,0
2713c,Rosemary Mulligan,Rosemary Mulligan,House,95,228,44,184,53,14,39,10,1,9,45,8,37
11138c,Ruth Munson,Ruth Munson,House,95,223,41,182,21,4,17,8,1,7,40,3,37
10126c,Sandra M. Pihos,Sandra M. Pihos,House,95,349,28,321,40,6,34,12,0,12,78,10,68
12578c,Sandy Cole,Sandy Cole,House,95,213,20,193,30,1,29,9,0,9,32,3,29
194298k,Sara Feigenholtz,Sara Feigenholtz,House,95,302,65,237,94,20,74,4,1,3,37,8,29
6460c,Suzanne Bassi,Suzanne Bassi,House,95,127,19,108,12,1,11,5,0,5,31,3,28
272c,Wyvetter H. Younge,Wyvetter H. Younge,House,95,149,61,88,17,4,13,4,1,3,20,1,19
6456c,Carol Ronen,Carol Ronen,Senate,95,57,29,28,16,12,4,1,0,1,2,1,1
2710c,Carole Pankau,Carole Pankau,Senate,95,101,33,68,13,9,4,4,1,3,12,2,10
194248k,Christine Radogno,Christine Radogno,Senate,95,136,46,90,20,3,17,4,0,4,8,6,2
11852c,Deanna Demuzio,Deanna Demuzio,Senate,95,283,150,133,32,9,23,11,6,5,62,42,20
262758k,Heather A. Steans,Heather Steans,Senate,95,82,17,65,13,1,12,2,0,2,14,2,12
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,95,348,82,266,51,6,45,8,3,5,70,15,55
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,95,193,68,125,37,6,31,9,5,4,66,35,31
250812k,Linda Holmes,Linda Holmes,Senate,95,157,38,119,21,7,14,6,0,6,27,8,19
5360c,M. Maggie Crotty,M. Maggie Crotty,Senate,95,243,92,151,43,9,34,4,0,4,33,9,24
214463k,Mattie Hunter,Mattie Hunter,Senate,95,385,81,304,47,15,32,13,5,8,47,19,28
214519k,Pamela J. Althoff,Pamela J. Althoff,Senate,95,377,109,268,41,3,38,14,6,8,32,8,24
6461c,Susan Garrett,Susan Garrett,Senate,95,212,117,95,40,27,13,10,7,3,30,18,12
9052c,Annazette R. Collins,Annazette Collins,House,96,109,27,82,16,0,16,2,0,2,20,3,17
194309k,Barbara Flynn Currie,Barbara Flynn Currie,House,96,1319,96,1223,62,7,55,64,5,59,86,10,76
14743c,Betsy Hannig,Betsy Hannig,House,96,34,10,24,6,1,5,2,1,1,6,0,6
293933k,Camille Y. Lilly,Camille Y Lilly,House,96,10,0,10,2,0,2,0,0,0,2,0,2
281238k,Carol A. Sente,Carol A. Sente,House,96,134,15,119,14,2,12,8,0,8,12,2,10
