snippet_text,source,date,crash_event,media_tone,mentions_recovery,mentions_numeric,mentions_cause
the major factor in the stock market crash. What is important is to establish the fact that the stock market crash came as a result of the existing contradictions in American economy and that the decline in production of the most basic industries further accentuated these contradictions,The Daily Worker (Chicago),1929-12-07,1929,Negative,No,No,Yes
as a result of the stock market crash will not be heavy. Individual losses were offset to a considerable degree by an increase in the corporation tax despite the 1 per cent cut in rates.,The Washington Times,1930-03-24,1929,Neutral,No,No,No
lost money in last fall's stock market crash to figure how they'll deduct their losses from their income tax report. Here's how: Deduct losses actually incurred thru stock sales in 1929 from your net income,The Washington Daily News,1930-03-08,1929,Neutral,No,No,No
of a mere New York stock market crash but the major final crisis of world-wide business upset consequent upon the great war. The best economic judgment here now classifies the depression,Evening Star (Washington D.C.),1930-10-26,1929,Negative,No,No,Yes
jazz had ended with the stock market crash of 1929. It seems to me that we are too close to Queen Jazz and her lively era for any one to know definitely whether her throne is already on its last legs,Evening Star (Washington D.C.),1931-08-30,1929,Negative,No,No,No
Industry Is Sound Effects of Stock Market Crash Will Disappear Within 30 to 60 Days Auto Magnate Says Effects of the stock market crash on American industry will have completely disappeared within 30 or 60 days and auto manufacturers will make more cars than last year,The Washington Daily News,1930-02-05,1929,Positive,Yes,Yes,No
lost money in last fall's stock market crash will not be heavy. Individual losses were offset to a considerable degree by an increase in the corporation tax,The Washington Daily News,1930-02-04,1929,Neutral,No,No,No
immediate investigation of the stock market crash it appeared after leaders on the Senate Banking Committee declared that no good purpose could be served by inquiry now,The Washington Times,1929-10-25,1929,Neutral,No,No,No
the effect of the stock market crash on business is the paramount question at the moment. According to precedent a declining stock market followed by such sharp breaks as we have experienced since September of this year IS THE FORERUNNER OF A DECLINE IN BUSINESS,The Daily Worker (Chicago),1929-12-09,1929,Negative,No,No,Yes
country entitled Who Caused the Stock Market Crash followed with a subtitle Read John J. Raskobs Statement,Evening Star (Washington D.C.),1930-11-01,1929,Negative,No,No,Yes
"Effects of last October's stock market crash were reflected today in the latest Treasury tax collection statement which showed revenues running $10,000,000 behind last year's receipts",The Washington Daily News,1930-03-19,1929,Negative,No,Yes,No
