State,Year,Law Passed,Law Description,Law Link,Sentiment,Reasoning
California,2026,CA SJR 9 - Immigrants in California: Mass Immigration Raids,"California states against of federal immigration raids and use of the military forces, and pledge to protect their immigrant families and workers",https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000SJR9&ciq=ncsl&client_md=f64cc84a8d679eb96ad4397fffdbf4f8&mode=current_text,Pro-Immigration,CA states that their will protect immigrants
Illinois,2026,IL HR 622 - Federal Agent Excessive and Deadly Force Condemnation,Illinois House talks against of ICE useing deadly force and violence against of immigrants; they formally resequest Homeland Secruity DHS Secretary Kristi Noem for empeachment,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000HR622&ciq=ncsl&client_md=93e026d125ba22f3918b2bc0b644f2cc&mode=current_text,Pro-Immigration,
Illinois,2025,IL HR 504 - Fair Judicial System,"Reaffirms due process rights, condemns racial profiling and violent tactics by immigration enforcement, condemns Trump Administration actions.",https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
Illinois,2025,IL H 1312 - Illinois Bivens Act,"Prohibits civil arrests at courthouses, requires hospitals and schools to develop policies for interactions with immigration agents, limits disclosure of immigration status.",https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
Illinois,2025,IL H 3247 - School Code,Prohibits denying public education based on citizenship or immigration status and allows civil lawsuits for violations.,https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
Arizona,2023,AZ S 1376 - Department of Emergency and Military Affairs Funding,"Appropriates monies to the Department of Emergency and Military Affairs, specifies amount for deposit in the Anti-Human Trafficking Grant Fund, provides a specified amount for deputy sheriff compensation to be distributed to the Department of Administration for specified purposes, including a specified amount for counties for a onetime payment to line-level deputies and detention officers employed by each county sheriff's office.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
California,2023,CA A 1261 - Crime: Witnesses and Informants,"The law that tells the immigrant victim of witness regardless their status should be allowed to help police to provide reports etc; police can't disclose, share their immigrant status and should allow take witness regardless of immigration status",https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1261&ciq=ncsl&client_md=14034c16e2882f0ed5d305a8bb5fbf07&mode=current_text,Pro-Immigration,
Arizona,2026,AZ SR 1036 - Expresses Disapproval of Attorney General Public Statements,"The Arizona Senate is formally calling out their state's Attorney General for making public statements they believe were inaccurate or misleading about that it's okay to resist law enforcemnet commands and forces (including ICE); demand retract of these statements, resign",https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2026000SR1036&ciq=ncsl&client_md=6384843b5663bbd8b4c18f2a0ad1105f&mode=current_text,Anti-Immigration,"Arizona Senate doesnt support immigratnts resistance against of ICE, which is a clear sign that they are againt of immigration "
Illinois,2025,IL HR 504 - Fair Judicial System,"Reaffirms due process rights, condemns racial profiling and violent tactics by immigration enforcement, condemns Trump Administration actions.",https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
Illinois,2025,IL H 1312 - Illinois Bivens Act,"Prohibits civil arrests at courthouses, requires hospitals and schools to develop policies for interactions with immigration agents, limits disclosure of immigration status.",https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
