State,Year,Law Passed,Law Link,Law Description,my_label,Reasoning,model_label,pro_immigration_score,top_trigger_words
California,2026,CA SJR 9 - Immigrants in California: Mass Immigration Raids,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000SJR9&ciq=ncsl&mode=current_text,"California states against of federal immigration raids and use of the military forces, and pledge to protect their immigrant families and workers",Pro-Immigration,CA states that their will protect immigrants and they don't support ICE raids,Pro-Immigration,0.574,"raids, immigration raids, california, families, trump"
Illinois,2026,IL HR 622 - Federal Agent Excessive and Deadly Force Condemnation,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000HR622&ciq=ncsl&mode=current_text,Illinois House talks against of ICE useing deadly force and violence against of immigrants; they formally resequest Homeland Secruity DHS Secretary Kristi Noem for empeachment,Pro-Immigration,IL provides examples of all of the deadly murders of allegedly illegal immigrants in Illinois - they don't agree with these forces of homeland security and asking for Secretary Kristi Noem impeachment,Pro-Immigration,0.5719,"agents, shot, ice, operating, trump"
Illinois,2025,IL HR 504 - Fair Judicial System,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000HR504&ciq=ncsl&mode=current_text,"Reaffirms due process rights, condemns racial profiling and violent tactics by immigration enforcement, condemns Trump Administration actions.",Pro-Immigration,Resolution condemning Trump's Operation Midway Blitz for violating immigrant due process rights; IL disagrees with federal agents targeting people based on appearance,Pro-Immigration,0.5799,"trump, agents, process, illinois, people"
Illinois,2025,IL H 1312 - Illinois Bivens Act,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000H1312&ciq=ncsl&mode=current_text,"Prohibits civil arrests at courthouses, requires hospitals and schools to develop policies for interactions with immigration agents, limits disclosure of immigration status.",Pro-Immigration,They restrict and prohibid arrests at schools based on the immigration status,Pro-Immigration,0.5613,"school, illinois, hospital, information, enforcement"
Illinois,2025,IL H 3247 - School Code,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000H3247&ciq=ncsl&mode=current_text,Prohibits denying public education based on citizenship or immigration status and allows civil lawsuits for violations.,Pro-Immigration,Kids should get free education here no matter their immigration status + they will be protected from federal agents activity on school terriotory,Pro-Immigration,0.5811,"school, charter, charter school, eff, student"
Arizona,2023,AZ S 1376 - Department of Emergency and Military Affairs Funding,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2023000S1376&ciq=ncsl&mode=current_text,"Appropriates monies to the Department of Emergency and Military Affairs, specifies amount for deposit in the Anti-Human Trafficking Grant Fund, provides a specified amount for deputy sheriff compensation to be distributed to the Department of Administration for specified purposes, including a specified amount for counties for a onetime payment to line-level deputies and detention officers employed by each county sheriff's office.",Anti-Immigration,Arizona allocates 15K to send immigrants to the states where they will be welcomed. Arizona don't support new-coming immigrants seeking for an asylum.,Anti-Immigration,0.418,"arizona, 000, revised statutes, arizona revised, monies"
California,2023,CA A 1261 - Crime: Witnesses and Informants,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1261&ciq=ncsl&mode=current_text,"The law that tells the immigrant victim of witness regardless their status should be allowed to help police to provide reports etc; police can't disclose, share their immigrant status and should allow take witness regardless of immigration status",Pro-Immigration,CA protects immigrant crime victims and witnesses by requiring officials to certify victim helpfulness on federal immigration forms — supports immigrant access to the justice system,Pro-Immigration,0.5898,"victim, certifying, certifying entity, form, supplement"
Arizona,2026,AZ SR 1036 - Expresses Disapproval of Attorney General Public Statements,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2026000SR1036&ciq=ncsl&mode=current_text,"The Arizona Senate is formally calling out their state's Attorney General for making public statements they believe were inaccurate or misleading about that it's okay to resist law enforcemnet commands and forces (including ICE); demand retract of these statements, resign",Anti-Immigration,"Arizona Senate doesnt support immigratnts resistance against of ICE, which is a clear sign that they are againt of immigration",Anti-Immigration,0.4265,"arizona, enforcement officers, attorney general, senate, officers"
California,2025,CA A 49 - Schoolsites: Immigration Enforcement,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A49&ciq=ncsl&mode=current_text,Prohibits school officials from allowing immigration enforcement officers to enter nonpublic areas of school sites without a valid judicial warrant; school officials not allowed to hande over and share information about student immigrants,Pro-Immigration,For immigration since California protect school immigrant students on entering the campus area and giving out the information to ICE,Pro-Immigration,0.6051,"school, local educational, educational, information, educational agency"
California,2025,CA S 307 - Public Postsecondary Education: Immigration Enforcement,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000S307&ciq=ncsl&mode=current_text,"Requires CSU Trustees and requests UC Regents to implement precautionary measures including systemwide policies addressing course grades, administrative withdrawal, and reenrollment for undocumented students unable to attend courses due to immigration enforcement activity.",Pro-Immigration,CA public university protects their immigrant students by making sure that they dont loose financial aid and that they are execused from classes if they miss due to immigration enforecement actions,Pro-Immigration,0.5673,"student, university, california, immigration enforcement, undocumented"
