uid,source,source_object_id,title,artist_display,date_display,medium,department,image_url,iiif_image_id,license_or_rights,object_url,search_queries,raw_source
239e853e-bb20-44ef-b918-f0622350782b,artic,100489,The Coast of Labrador,"William Bradford (American, 1823–1892)",1866,Oil on canvas,Arts of the Americas,"https://www.artic.edu/iiif/2/4c5abec2-d94f-9afa-b689-de4dc93791f2/full/!2000,2000/0/default.jpg",4c5abec2-d94f-9afa-b689-de4dc93791f2,public_domain,https://www.artic.edu/artworks/100489,American Revolution,"{""_score"": 34.76595, ""id"": 100489, ""title"": ""The Coast of Labrador"", ""date_display"": ""1866"", ""artist_display"": ""William Bradford (American, 1823–1892)"", ""medium_display"": ""Oil on canvas"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""4c5abec2-d94f-9afa-b689-de4dc93791f2""}"
0d3460c2-82dd-4764-803e-5f2082c998b0,artic,100690,"Church at Montigny-Sur-Loing, France, Travel Sketch","George Washington Maher 
American, 1864–1926",1891,Ink on heavy paper,Architecture and Design,"https://www.artic.edu/iiif/2/1ef21afd-10ab-245a-51e0-7ebb9848d788/full/!2000,2000/0/default.jpg",1ef21afd-10ab-245a-51e0-7ebb9848d788,public_domain,https://www.artic.edu/artworks/100690,George Washington,"{""_score"": 238.84503, ""id"": 100690, ""title"": ""Church at Montigny-Sur-Loing, France, Travel Sketch"", ""date_display"": ""1891"", ""artist_display"": ""George Washington Maher \nAmerican, 1864–1926"", ""medium_display"": ""Ink on heavy paper"", ""is_public_domain"": true, ""artwork_type_title"": ""Architectural Drawing"", ""department_title"": ""Architecture and Design"", ""image_id"": ""1ef21afd-10ab-245a-51e0-7ebb9848d788""}"
b21f6e2f-e44e-4b9c-96b6-ca855b7b2b08,artic,100698,"Sta. Maria della Salute, Venice, Italy, Travel Sketch","George Washington Maher 
American, 1864–1926",1891,Ink on heavy paper,Architecture and Design,"https://www.artic.edu/iiif/2/c705da84-4c9e-e4f9-c98a-3e5aed84b22e/full/!2000,2000/0/default.jpg",c705da84-4c9e-e4f9-c98a-3e5aed84b22e,public_domain,https://www.artic.edu/artworks/100698,George Washington,"{""_score"": 361.35858, ""id"": 100698, ""title"": ""Sta. Maria della Salute, Venice, Italy, Travel Sketch"", ""date_display"": ""1891"", ""artist_display"": ""George Washington Maher \nAmerican, 1864–1926"", ""medium_display"": ""Ink on heavy paper"", ""is_public_domain"": true, ""artwork_type_title"": ""Architectural Drawing"", ""department_title"": ""Architecture and Design"", ""image_id"": ""c705da84-4c9e-e4f9-c98a-3e5aed84b22e""}"
a2056aa5-21cb-4c5c-afd7-059b235023eb,artic,102777,Abigail Chesebrough (Mrs. Alexander Grant),"Joseph Blackburn (English, active in British colonies in North America and Bermuda, 1752–64)",1754,Oil on canvas,Arts of the Americas,"https://www.artic.edu/iiif/2/513678a8-6b70-d2f4-addc-3640b0e1191f/full/!2000,2000/0/default.jpg",513678a8-6b70-d2f4-addc-3640b0e1191f,public_domain,https://www.artic.edu/artworks/102777,American Revolution,"{""_score"": 34.975155, ""id"": 102777, ""title"": ""Abigail Chesebrough (Mrs. Alexander Grant)"", ""date_display"": ""1754"", ""artist_display"": ""Joseph Blackburn (English, active in British colonies in North America and Bermuda, 1752–64)"", ""medium_display"": ""Oil on canvas"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""513678a8-6b70-d2f4-addc-3640b0e1191f""}"
bc0b02b8-cb52-45bf-81ac-f5a1b60ca5a4,artic,103114,Abraham Lincoln,"Daniel Chester French (American, 1850–1931)
Cast by Roman Bronze Works (American, founded 1897)","Modeled 1912, cast after 1912",Bronze,Arts of the Americas,"https://www.artic.edu/iiif/2/d89e1a14-3390-e044-6492-01219381065f/full/!2000,2000/0/default.jpg",d89e1a14-3390-e044-6492-01219381065f,public_domain,https://www.artic.edu/artworks/103114,Abraham Lincoln,"{""_score"": 2024.4796, ""id"": 103114, ""title"": ""Abraham Lincoln"", ""date_display"": ""Modeled 1912, cast after 1912"", ""artist_display"": ""Daniel Chester French (American, 1850–1931)\nCast by Roman Bronze Works (American, founded 1897)"", ""medium_display"": ""Bronze"", ""is_public_domain"": true, ""artwork_type_title"": ""Sculpture"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""d89e1a14-3390-e044-6492-01219381065f""}"
4b6144d4-37fc-4fa9-b093-ce914a361f2c,artic,105475,United States Twenty Dollar Coin,"Augustus Saint-Gaudens (American, born Ireland, 1848–1907)
Modified by Charles E. Barber (American, born England, 1841–1917)",1907,Gold,Arts of the Americas,"https://www.artic.edu/iiif/2/80a0b904-8d5d-5913-4929-ed731a6c6edb/full/!2000,2000/0/default.jpg",80a0b904-8d5d-5913-4929-ed731a6c6edb,public_domain,https://www.artic.edu/artworks/105475,United States,"{""_score"": 585.5858, ""id"": 105475, ""title"": ""United States Twenty Dollar Coin"", ""date_display"": ""1907"", ""artist_display"": ""Augustus Saint-Gaudens (American, born Ireland, 1848–1907)\nModified by Charles E. Barber (American, born England, 1841–1917)"", ""medium_display"": ""Gold"", ""is_public_domain"": true, ""artwork_type_title"": ""Metalwork"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""80a0b904-8d5d-5913-4929-ed731a6c6edb""}"
4c833ef4-dd6a-4312-b86b-121b0237a009,artic,105702,High-Back Windsor Chair,"Artist unknown (American, 18th century)
Philadelphia",c. 1760,Walnut,Arts of the Americas,"https://www.artic.edu/iiif/2/68791330-40df-5e23-dfd0-5e9acc1f53e3/full/!2000,2000/0/default.jpg",68791330-40df-5e23-dfd0-5e9acc1f53e3,public_domain,https://www.artic.edu/artworks/105702,American history,"{""_score"": 35.28034, ""id"": 105702, ""title"": ""High-Back Windsor Chair"", ""date_display"": ""c. 1760"", ""artist_display"": ""Artist unknown (American, 18th century)\nPhiladelphia"", ""medium_display"": ""Walnut"", ""is_public_domain"": true, ""artwork_type_title"": ""Furniture"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""68791330-40df-5e23-dfd0-5e9acc1f53e3""}"
2ea9d22f-f0d0-4efd-95f5-24e6cc85e9ea,artic,106059,George Washington,"Mintons Ltd.
English, founded 1793",c. 1800,Soft-paste porcelain with gilding,Applied Arts of Europe,"https://www.artic.edu/iiif/2/22e1a71b-19a6-f7c9-e7a3-041d378b1b9a/full/!2000,2000/0/default.jpg",22e1a71b-19a6-f7c9-e7a3-041d378b1b9a,public_domain,https://www.artic.edu/artworks/106059,George Washington,"{""_score"": 893.2925, ""id"": 106059, ""title"": ""George Washington"", ""date_display"": ""c. 1800"", ""artist_display"": ""Mintons Ltd.\nEnglish, founded 1793"", ""medium_display"": ""Soft-paste porcelain with gilding"", ""is_public_domain"": true, ""artwork_type_title"": ""Ceramics"", ""department_title"": ""Applied Arts of Europe"", ""image_id"": ""22e1a71b-19a6-f7c9-e7a3-041d378b1b9a""}"
a0c7d105-6e62-4890-9843-1f970348a930,artic,107902,George Washington Inaugural Medal,"Augustus Saint-Gaudens (American, born Ireland, 1848–1907)
Philip Martiny (American, 1858–1927)",1889,Bronze,Arts of the Americas,,,public_domain,https://www.artic.edu/artworks/107902,United States,"{""_score"": 518.18085, ""id"": 107902, ""title"": ""George Washington Inaugural Medal"", ""date_display"": ""1889"", ""artist_display"": ""Augustus Saint-Gaudens (American, born Ireland, 1848–1907)\nPhilip Martiny (American, 1858–1927)"", ""medium_display"": ""Bronze"", ""is_public_domain"": true, ""artwork_type_title"": ""Metalwork"", ""department_title"": ""Arts of the Americas"", ""image_id"": null}"
5b7ee912-33e3-4e5a-a27b-608e5cd4cec2,artic,108950,"Man with a Cane, seen from behind, from The Garden of French Nobility","Abraham Bosse
French, 1602-1676",1629,Etching and engraving on ivory laid paper,Prints and Drawings,"https://www.artic.edu/iiif/2/513d21ac-2848-4ec8-1c99-ab32020757ce/full/!2000,2000/0/default.jpg",513d21ac-2848-4ec8-1c99-ab32020757ce,public_domain,https://www.artic.edu/artworks/108950,Abraham Lincoln,"{""_score"": 53.33256, ""id"": 108950, ""title"": ""Man with a Cane, seen from behind, from The Garden of French Nobility"", ""date_display"": ""1629"", ""artist_display"": ""Abraham Bosse\nFrench, 1602-1676"", ""medium_display"": ""Etching and engraving on ivory laid paper"", ""is_public_domain"": true, ""artwork_type_title"": ""Print"", ""department_title"": ""Prints and Drawings"", ""image_id"": ""513d21ac-2848-4ec8-1c99-ab32020757ce""}"
